DateAndTime,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
10.10.2017 21:00,10.9,713.3,765.7,0.4,67,Wind blowing from the south,2,,,40%., ,,,4.8,18.8,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20,4.9,No precipitation,12,,,,
10.10.2017 18:00,17.4,712.9,763.9,-0.3,44,"Calm, no wind",0,,,70 – 80%., ,,,4.8,18.8,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",25,4.8,,,,,,
10.10.2017 15:00,17,713.2,764.4,-1.2,48,Wind blowing from the north-east,1,,,20–30%., ,,,4.8,17.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",25,5.8,No precipitation,6,,,,
10.10.2017 12:00,11,714.4,766.7,0.6,67,Wind blowing from the north-east,1,,,20–30%., ,,,4.8,11.4,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,Altocumulus translucidus at a single level.,"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.",25,5,,,,,,
10.10.2017 09:00,5,713.8,767.4,0.7,80,"Calm, no wind",0,,,20–30%., ,,,2.5,9.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20,1.8,No precipitation,12,,,,
10.10.2017 06:00,4.8,713.1,766.6,,85,Wind blowing from the south,1,,,no clouds, ,,,2.5,9.2,,,,,,18,2.4,,,,,,
10.10.2017 03:00,5,712.9,766.4,0,85,"Calm, no wind",0,,,no clouds, ,,,2.5,9.2,,,,,,18,2.6,No precipitation,6,,,,
10.10.2017 00:00,5.2,712.9,766.3,0.9,88,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,4.7,9.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",18,3.3,,,,,,
09.10.2017 21:00,9,712,764.6,0.4,74,"Calm, no wind",0,,,no clouds, ,,,8.4,15.6,,,,,,18,4.6,No precipitation,12,,,,
09.10.2017 18:00,14.1,711.6,763.2,0,53,Wind blowing from the west-northwest,2,,,70 – 80%., ,,,10.2,15.6,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20,4.7,,,,,,
09.10.2017 15:00,14.7,711.6,763.1,0.1,47,Wind blowing from the west,4,,,70 – 80%., ,,,10.2,15,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,3.4,No precipitation,6,,,,
09.10.2017 12:00,13,711.5,763.3,1,51,Wind blowing from the west-northwest,3,,,70 – 80%., ,,,10.2,14.1,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,2.9,,,,,,
09.10.2017 09:00,10.6,710.5,762.7,0,62,Wind blowing from the west-northwest,5,,,40%., ,,,4.2,10.6,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,3.5,No precipitation,12,,,,
09.10.2017 06:00,7.8,710.5,763.3,0,81,"Calm, no wind",0,,,70 – 80%., ,,,4.2,10.6,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,4.7,,,,,,
09.10.2017 03:00,7,710.5,763.4,0.3,80,"Calm, no wind",0,,,70 – 80%., ,,,4.2,10.6,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,3.8,No precipitation,6,,,,
09.10.2017 00:00,7,710.2,763,0.7,79,"Calm, no wind",0,,,70 – 80%., ,,,6.7,10.6,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,3.6,,,,,,
08.10.2017 21:00,10.4,709.5,761.7,1.4,60,"Calm, no wind",0,,,60%., ,,,5.5,13.1,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20,2.8,Trace of precipitation,12,,,,
08.10.2017 18:00,11.6,708.1,760,0.3,51,Wind blowing from the west-northwest,4,,,70 – 80%., ,,,5.5,13.1,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",22,1.6,,,,,,
08.10.2017 15:00,11.4,707.8,759.7,-0.1,52,Wind blowing from the west-northwest,5,,,50%.,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,5.5,12,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",22,1.9,Trace of precipitation,6,,,,
