# Weather station Sofia (weather station), Bulgaria, WMO_ID=15614,selection from 16.01.2017 till 16.01.2018, all days
# Encoding: UTF-8
# The data are provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=15614&lang=en
#
"Local time in Sofia (weather station)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.01.2018 20:00";"1.8";"704.9";"758.5";"-1.5";"81";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"-3.2";"3.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-1.2";"No precipitation";"12";"";"";"Compact or wet snow (with or without ice) covering at least one-half of the ground but ground not completely covered.";"less than 0.5";
"16.01.2018 17:00";"2.6";"706.4";"759.9";"-1.7";"78";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"-3.2";"3.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"12.0";"-0.9";"";"";"";"";"";"";
"16.01.2018 14:00";"2.0";"708.1";"761.9";"-1.8";"81";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"-3.2";"2.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-1.0";"No precipitation";"6";"";"";"";"";
"16.01.2018 11:00";"-1.2";"709.9";"764.5";"-1.0";"86";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"-3.2";"-1.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-3.3";"";"";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"16.01.2018 08:00";"-2.6";"710.9";"765.8";"-0.6";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.5";"-1.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-4.0";"0.7";"12";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"16.01.2018 05:00";"-2.6";"711.5";"766.5";"-0.8";"88";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.5";"-1.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"-4.3";"";"";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"16.01.2018 02:00";"-2.4";"712.3";"767.2";"-1.4";"88";"Wind blowing from the north-west";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.5";"-1.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"10.0";"-4.1";"0.5";"6";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"15.01.2018 23:00";"-2.3";"713.7";"768.7";"-0.4";"90";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.9";"-1.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"-3.7";"";"";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"15.01.2018 20:00";"-1.9";"714.1";"769.2";"-0.6";"85";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-4.0";"-0.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-4.1";"0.7";"12";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"15.01.2018 17:00";"-1.0";"714.7";"769.6";"-1.0";"80";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-4.0";"-0.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"-4.0";"";"";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"15.01.2018 14:00";"-0.8";"715.7";"770.6";"-0.8";"75";"Wind blowing from the east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-4.0";"-0.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"8.0";"-4.7";"0.7";"6";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"15.01.2018 11:00";"-2.8";"716.5";"772.0";"0.5";"88";"Wind blowing from the east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-4.0";"-2.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"5.0";"-4.5";"";"";"";"";"Uneven layer of loose dry snow covering ground completely.";"3.0";
"15.01.2018 08:00";"-3.3";"716.0";"771.5";"-0.8";"90";"Wind blowing from the south-east";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"-4.1";"-1.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"5.0";"-4.7";"0.3";"12";"";"";"Uneven layer of loose dry snow covering ground completely.";"1.0";
"15.01.2018 05:00";"-2.8";"716.8";"772.3";"-0.8";"88";"Calm, no wind";"0";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-3.4";"-1.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"6.0";"-4.5";"";"";"";"";"";"";
"15.01.2018 02:00";"-2.4";"717.6";"773.0";"0.2";"81";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.8";"-1.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"10.0";"-5.3";"Trace of precipitation";"6";"";"";"";"";
"14.01.2018 23:00";"-2.2";"717.4";"772.7";"0.6";"81";"Wind blowing from the east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.5";"-1.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"Altostratus opacus or Nimbostratus.";"";"12.0";"-5.1";"";"";"";"";"";"";
"14.01.2018 20:00";"-2.0";"716.8";"772.1";"0.0";"81";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.8";"-1.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"12.0";"-4.8";"0.1";"12";"";"";"";"";
